# batch      l2_tst    l2_trn    l2_e_tst  l2_e_trn    l2_f_tst  l2_f_trn         lr
      0    1.02e+02  1.02e+02    5.73e+00  5.74e+00    3.24e+00  3.22e+00    1.0e-03
   1000    3.45e+00  3.53e+00    3.25e-02  3.24e-02    1.24e-01  1.27e-01    7.7e-04
   2000    1.61e+00  1.37e+00    3.74e-02  3.75e-02    6.56e-02  5.59e-02    6.0e-04
   3000    1.22e+00  1.35e+00    4.68e-04  7.95e-04    5.65e-02  6.27e-02    4.6e-04
   4000    1.00e+00  9.41e-01    4.27e-03  4.70e-03    5.29e-02  4.96e-02    3.6e-04
   5000    7.80e-01  8.60e-01    4.39e-02  4.37e-02    4.62e-02  5.11e-02    2.8e-04
   6000    5.30e-01  5.39e-01    2.93e-02  2.92e-02    3.57e-02  3.63e-02    2.1e-04
   7000    3.94e-01  3.87e-01    4.78e-03  4.66e-03    3.05e-02  2.99e-02    1.7e-04
   8000    5.45e-01  5.41e-01    1.97e-02  1.93e-02    4.77e-02  4.73e-02    1.3e-04
   9000    2.62e-01  2.30e-01    3.02e-03  2.98e-03    2.61e-02  2.30e-02    9.9e-05
  10000    2.00e-01  1.87e-01    7.92e-03  7.78e-03    2.25e-02  2.10e-02    7.7e-05
  11000    1.66e-01  1.86e-01    9.11e-03  9.10e-03    2.11e-02  2.37e-02    6.0e-05
  12000    1.29e-01  1.35e-01    2.78e-03  2.64e-03    1.88e-02  1.97e-02    4.6e-05
  13000    1.33e-01  1.00e-01    6.70e-03  6.64e-03    2.18e-02  1.62e-02    3.6e-05
  14000    1.10e-01  9.04e-02    4.36e-03  4.34e-03    2.05e-02  1.67e-02    2.8e-05
  15000    8.26e-02  9.14e-02    2.56e-03  2.63e-03    1.74e-02  1.93e-02    2.1e-05
  16000    7.19e-02  7.68e-02    3.38e-03  3.38e-03    1.70e-02  1.82e-02    1.7e-05
  17000    6.30e-02  7.60e-02    2.33e-03  2.29e-03    1.69e-02  2.04e-02    1.3e-05
  18000    5.50e-02  6.37e-02    2.03e-03  2.05e-03    1.66e-02  1.92e-02    9.9e-06
  19000    4.92e-02  5.12e-02    3.05e-03  3.07e-03    1.64e-02  1.71e-02    7.7e-06
  20000    4.38e-02  4.56e-02    1.68e-04  1.38e-04    1.67e-02  1.73e-02    5.9e-06
  21000    3.89e-02  3.89e-02    1.64e-03  1.64e-03    1.63e-02  1.63e-02    4.6e-06
  22000    3.70e-02  3.88e-02    8.97e-04  8.18e-04    1.73e-02  1.82e-02    3.5e-06
  23000    3.18e-02  3.31e-02    2.46e-04  2.66e-04    1.65e-02  1.71e-02    2.7e-06
  24000    2.88e-02  2.37e-02    8.46e-04  8.72e-04    1.62e-02  1.34e-02    2.1e-06
  25000    2.68e-02  3.26e-02    4.18e-04  3.35e-04    1.65e-02  2.01e-02    1.6e-06
  26000    2.45e-02  2.40e-02    3.05e-04  3.09e-04    1.63e-02  1.59e-02    1.3e-06
  27000    2.30e-02  2.07e-02    8.74e-05  1.38e-04    1.63e-02  1.47e-02    9.8e-07
  28000    2.19e-02  2.26e-02    2.36e-04  2.24e-04    1.65e-02  1.71e-02    7.6e-07
  29000    2.06e-02  1.85e-02    1.23e-04  1.03e-04    1.64e-02  1.47e-02    5.9e-07
  30000    2.02e-02  1.81e-02    2.09e-04  2.28e-04    1.68e-02  1.50e-02    4.6e-07
  31000    1.88e-02  1.84e-02    2.56e-04  2.91e-04    1.62e-02  1.58e-02    3.5e-07
  32000    1.84e-02  1.82e-02    1.19e-04  1.30e-04    1.63e-02  1.61e-02    2.7e-07
  33000    1.79e-02  1.85e-02    1.44e-04  1.14e-04    1.63e-02  1.69e-02    2.1e-07
  34000    1.75e-02  1.60e-02    2.02e-04  2.12e-04    1.62e-02  1.49e-02    1.6e-07
  35000    1.72e-02  1.85e-02    9.33e-05  1.12e-04    1.62e-02  1.74e-02    1.3e-07
  36000    1.69e-02  1.83e-02    8.53e-05  1.28e-04    1.62e-02  1.74e-02    9.8e-08
  37000    1.69e-02  1.92e-02    1.16e-04  1.10e-04    1.63e-02  1.85e-02    7.6e-08
  38000    1.67e-02  1.99e-02    1.01e-04  1.07e-04    1.62e-02  1.93e-02    5.9e-08
  39000    1.65e-02  1.60e-02    8.00e-05  1.40e-04    1.62e-02  1.56e-02    4.5e-08
  40000    1.65e-02  1.60e-02    8.13e-05  1.31e-04    1.62e-02  1.57e-02    3.5e-08
