#       step         max_devi_e         min_devi_e         avg_devi_e         max_devi_f         min_devi_f         avg_devi_f
           0       2.179960e+00       4.404197e-01       8.776772e-01       2.414916e-02       7.538327e-03       1.503810e-02
          10       2.244680e+00       4.607561e-01       9.025267e-01       1.832031e-02       7.688325e-03       1.209401e-02
          20       2.295079e+00       4.701354e-01       9.224079e-01       2.447901e-02       7.457107e-03       1.445486e-02
          30       2.314091e+00       4.665475e-01       9.304094e-01       2.903122e-02       1.159410e-02       1.956262e-02
          40       2.278154e+00       4.672929e-01       9.155075e-01       3.111514e-02       1.019139e-02       1.849412e-02
          50       2.225473e+00       4.710428e-01       8.930762e-01       9.207504e-03       6.452628e-03       7.795293e-03
          60       2.150542e+00       4.579526e-01       8.629626e-01       1.450244e-02       1.024580e-02       1.290316e-02
          70       2.115597e+00       4.478615e-01       8.493276e-01       3.098890e-02       1.371513e-02       1.924403e-02
          80       2.098336e+00       4.565741e-01       8.419399e-01       2.304816e-02       8.886767e-03       1.760092e-02
          90       2.132607e+00       4.813709e-01       8.547149e-01       1.534620e-02       1.018179e-02       1.232622e-02
         100       2.193176e+00       5.148648e-01       8.781493e-01       1.506238e-02       4.593517e-03       9.456734e-03
         110       2.264716e+00       5.203404e-01       9.064369e-01       2.022996e-02       4.079356e-03       1.018917e-02
         120       2.318815e+00       5.340493e-01       9.284599e-01       1.665881e-02       1.135931e-02       1.510064e-02
         130       2.312397e+00       5.303809e-01       9.266345e-01       2.994822e-02       1.285924e-02       2.176524e-02
         140       2.267616e+00       4.972730e-01       9.100649e-01       7.748777e-03       5.370484e-03       6.378330e-03
         150       2.173879e+00       4.413159e-01       8.745660e-01       2.762139e-02       1.101486e-02       1.800179e-02
         160       2.118541e+00       4.326584e-01       8.535206e-01       4.214085e-02       1.516383e-02       2.375394e-02
         170       2.079700e+00       4.299450e-01       8.396308e-01       7.763340e-02       2.372552e-02       4.086905e-02
         180       2.112895e+00       4.253564e-01       8.534488e-01       5.200079e-02       2.269746e-02       3.228877e-02
         190       2.168739e+00       4.193363e-01       8.758233e-01       5.141011e-02       1.232620e-02       2.677953e-02
         200       2.246128e+00       4.397358e-01       9.051290e-01       2.477005e-02       7.393251e-03       1.377547e-02
         210       2.304132e+00       4.789944e-01       9.267140e-01       3.525244e-02       1.332516e-02       2.204852e-02
         220       2.310378e+00       4.924332e-01       9.280723e-01       2.487728e-02       1.568228e-02       2.043823e-02
         230       2.275224e+00       4.812511e-01       9.127858e-01       8.581634e-03       5.990532e-03       7.164590e-03
