#       step         max_devi_e         min_devi_e         avg_devi_e         max_devi_f         min_devi_f         avg_devi_f
           0       2.149251e+00       4.904045e-01       8.610311e-01       1.928717e-02       5.799136e-03       9.985446e-03
          10       2.183192e+00       4.887297e-01       8.753868e-01       1.343678e-02       5.923838e-03       8.618680e-03
          20       2.229152e+00       4.795680e-01       8.940649e-01       2.302019e-02       7.123940e-03       1.214873e-02
          30       2.272695e+00       4.837068e-01       9.112190e-01       1.411227e-02       6.853998e-03       9.081249e-03
          40       2.277823e+00       5.010976e-01       9.127670e-01       3.133732e-02       8.848582e-03       1.576667e-02
          50       2.261802e+00       5.030527e-01       9.068375e-01       7.800959e-03       6.367197e-03       6.999814e-03
          60       2.202868e+00       4.749544e-01       8.848633e-01       3.273289e-02       1.113886e-02       1.940885e-02
          70       2.167825e+00       4.484944e-01       8.711521e-01       2.810856e-02       6.190101e-03       1.481963e-02
          80       2.122784e+00       4.417858e-01       8.527227e-01       2.515087e-02       1.765045e-02       2.009415e-02
          90       2.124805e+00       4.531638e-01       8.536489e-01       2.384014e-02       6.594613e-03       1.342246e-02
         100       2.140036e+00       4.546565e-01       8.613265e-01       4.546698e-02       1.190629e-02       2.328160e-02
         110       2.201185e+00       4.588799e-01       8.861863e-01       3.330757e-02       1.439879e-02       2.115144e-02
         120       2.279314e+00       4.368778e-01       9.181721e-01       3.514920e-02       1.351491e-02       1.951022e-02
         130       2.305116e+00       4.535910e-01       9.277181e-01       4.822208e-02       2.302141e-02       3.091384e-02
         140       2.274768e+00       4.645125e-01       9.157632e-01       2.447417e-02       1.105073e-02       1.489486e-02
         150       2.191024e+00       4.279912e-01       8.841712e-01       7.412007e-02       1.884081e-02       3.397476e-02
         160       2.137233e+00       4.385413e-01       8.617596e-01       4.918858e-02       1.067845e-02       2.308947e-02
         170       2.095599e+00       4.207483e-01       8.451020e-01       8.523522e-02       1.908643e-02       3.802788e-02
         180       2.132128e+00       4.647380e-01       8.572209e-01       1.582539e-02       5.017316e-03       9.352580e-03
         190       2.166094e+00       4.347586e-01       8.711466e-01       4.691802e-02       1.370242e-02       2.417242e-02
         200       2.235412e+00       4.651333e-01       8.972740e-01       1.921997e-02       8.330279e-03       1.199891e-02
         210       2.268679e+00       5.073834e-01       9.096221e-01       2.282297e-02       1.262140e-02       1.582942e-02
         220       2.283188e+00       5.120823e-01       9.148184e-01       1.052471e-02       5.624595e-03       7.876494e-03
         230       2.260990e+00       4.799603e-01       9.061904e-01       1.749525e-02       4.712833e-03       8.810638e-03
         240       2.217849e+00       4.680926e-01       8.890914e-01       1.784754e-02       3.673620e-03       9.715820e-03
