# batch      l2_tst    l2_trn    l2_e_tst  l2_e_trn    l2_f_tst  l2_f_trn         lr
      0    7.97e+01  7.98e+01    5.42e+00  5.42e+00    2.52e+00  2.52e+00    1.0e-03
   1000    2.04e+00  2.37e+00    1.16e-01  1.15e-01    7.29e-02  8.48e-02    7.7e-04
   2000    1.44e+00  1.64e+00    1.56e-01  1.56e-01    5.72e-02  6.58e-02    6.0e-04
   3000    1.21e+00  1.46e+00    1.77e-02  1.80e-02    5.60e-02  6.79e-02    4.6e-04
   4000    5.39e-01  6.70e-01    2.44e-02  2.43e-02    2.83e-02  3.52e-02    3.6e-04
   5000    3.57e-01  5.07e-01    3.26e-03  3.20e-03    2.14e-02  3.04e-02    2.8e-04
   6000    2.91e-01  3.84e-01    2.02e-02  2.02e-02    1.95e-02  2.59e-02    2.1e-04
   7000    2.31e-01  2.89e-01    2.25e-02  2.26e-02    1.71e-02  2.18e-02    1.7e-04
   8000    1.57e-01  2.28e-01    1.00e-02  9.77e-03    1.36e-02  1.99e-02    1.3e-04
   9000    1.39e-01  1.78e-01    1.90e-02  1.90e-02    1.26e-02  1.68e-02    9.9e-05
  10000    1.18e-01  1.16e-01    3.13e-03  3.10e-03    1.33e-02  1.31e-02    7.7e-05
  11000    1.03e-01  1.32e-01    5.82e-03  5.79e-03    1.31e-02  1.68e-02    6.0e-05
  12000    1.05e-01  1.03e-01    5.93e-03  5.99e-03    1.51e-02  1.47e-02    4.6e-05
  13000    7.85e-02  7.28e-02    6.12e-03  6.08e-03    1.26e-02  1.16e-02    3.6e-05
  14000    7.99e-02  9.23e-02    8.39e-03  8.37e-03    1.41e-02  1.66e-02    2.8e-05
  15000    5.87e-02  6.31e-02    2.98e-03  2.96e-03    1.23e-02  1.32e-02    2.1e-05
  16000    5.27e-02  6.62e-02    4.75e-03  4.71e-03    1.21e-02  1.54e-02    1.7e-05
  17000    5.17e-02  7.23e-02    2.17e-03  2.22e-03    1.38e-02  1.94e-02    1.3e-05
  18000    4.22e-02  5.19e-02    4.61e-03  4.57e-03    1.20e-02  1.51e-02    9.9e-06
  19000    3.75e-02  3.42e-02    1.74e-03  1.78e-03    1.26e-02  1.15e-02    7.7e-06
  20000    3.18e-02  3.30e-02    3.44e-04  2.85e-04    1.21e-02  1.25e-02    5.9e-06
  21000    3.05e-02  3.47e-02    7.79e-04  7.23e-04    1.29e-02  1.47e-02    4.6e-06
  22000    2.58e-02  3.00e-02    9.66e-04  9.60e-04    1.20e-02  1.40e-02    3.5e-06
  23000    2.54e-02  4.78e-02    2.75e-04  4.65e-04    1.31e-02  2.47e-02    2.7e-06
  24000    2.13e-02  2.53e-02    3.12e-04  2.62e-04    1.20e-02  1.43e-02    2.1e-06
  25000    2.03e-02  2.79e-02    6.83e-04  6.89e-04    1.24e-02  1.71e-02    1.6e-06
  26000    1.81e-02  2.19e-02    2.69e-04  3.28e-04    1.20e-02  1.45e-02    1.3e-06
  27000    1.68e-02  2.01e-02    1.04e-04  1.45e-04    1.19e-02  1.43e-02    9.8e-07
  28000    1.72e-02  2.84e-02    1.35e-04  2.43e-04    1.30e-02  2.14e-02    7.6e-07
  29000    1.53e-02  1.73e-02    7.89e-05  5.29e-05    1.21e-02  1.37e-02    5.9e-07
  30000    1.45e-02  1.37e-02    1.79e-04  1.51e-04    1.20e-02  1.13e-02    4.6e-07
  31000    1.41e-02  1.46e-02    1.31e-04  1.44e-04    1.21e-02  1.25e-02    3.5e-07
  32000    3.66e-02  3.69e-02    2.97e-04  2.72e-04    3.24e-02  3.27e-02    2.7e-07
  33000    1.33e-02  1.57e-02    1.76e-04  1.95e-04    1.21e-02  1.43e-02    2.1e-07
  34000    1.30e-02  1.29e-02    1.27e-04  1.26e-04    1.20e-02  1.20e-02    1.6e-07
  35000    1.28e-02  1.33e-02    1.34e-04  1.27e-04    1.20e-02  1.25e-02    1.3e-07
  36000    1.26e-02  1.37e-02    1.21e-04  1.55e-04    1.20e-02  1.31e-02    9.8e-08
  37000    1.24e-02  1.32e-02    7.63e-05  8.34e-05    1.20e-02  1.27e-02    7.6e-08
  38000    1.23e-02  1.15e-02    1.23e-04  1.54e-04    1.20e-02  1.12e-02    5.9e-08
  39000    1.23e-02  1.25e-02    7.46e-05  8.82e-05    1.20e-02  1.22e-02    4.5e-08
  40000    1.22e-02  1.32e-02    1.28e-04  8.56e-05    1.20e-02  1.30e-02    3.5e-08
